N,Context,Drug,Target,genomic_score_curated,literature_score_curated,Stage,Prior status,Trial readiness,scoring_arm,refit_context,scoring_gene,pathway_for_component,published_E,published_P
1,NEPC,Venetoclax,BCL2,3,1,"FDA-approved (CLL, AML)",Previously proposed (Westaby JCI 2024 [PMID 39286979]),Ready now,expression,NEPC_DECITABINE,BCL2,,2,0
2,NEPC,Alisertib (investigational),AURKA / CXCR7→AURKA axis,1,1,Investigational (Phase II),Previously proposed (Gritsina JCI 2023 [PMID 37347559]; CXCR7→AURKA axis + in vivo alisertib validation) — framework convergent validation,Ready now,expression,NEPC_DECITABINE,AURKA,Neuroactive_ligand_receptor,2,2
3,NEPC,Tazemetostat,EZH2,2,1,"FDA-approved (epithelioid sarcoma, FL)",Previously proposed (Fei 2024; Saggese 2025 [PMID 39878501]),Ready now,expression,NEPC_DECITABINE,EZH2,Epigenetic_Regulation,2,1
4,NEPC,Decitabine / azacitidine,DNMT1/3A,2,1,"FDA-approved (MDS, AML)",Previously proposed (Yamada Sci Transl Med 2023 [PMID 37967200]; DNMT-KO + decitabine + B7-H3 ADC) — framework convergent validation,Ready now,expression,NEPC_DECITABINE,DNMT1,Epigenetic_Regulation,3,1
5,NEPC,Cabazitaxel + Carboplatin,TP53-mutated platinum-sensitive,3,1,FDA-approved (mCRPC),Previously proposed (Aparicio 2013; Corn Lancet Oncol 2019 [PMID 31416691]),Ready now (off-label SOC),expression,NEPC_DECITABINE,TP53,p53_signaling,0,1
6,NEPC,Olaparib,PARP1/2 (HRR-mutated subset),2,1,FDA-approved (HRR-mCRPC per PROfound 2020),Previously proposed (de Bono NEJM 2020; Ikeda 2024 [PMID 38440716]),Ready now,expression,NEPC_DECITABINE,PARP1,,3,0
7,MIBC / MPBC,Alisertib (investigational),AURKA / AURKB,1,1,Investigational (Phase II in mUC; Necchi 2019),Previously proposed for MIBC (Choi 2022 [PMC9022081]); MPBC extension novel,Ready now,de,MIBC_KINOME,AURKA,Cell_Cycle,3,1
8,MIBC / MPBC,Talazoparib,PARP (ERCC2/ATM/BRCA-mutated),2,1,FDA-approved (BRCA-breast; HRR-mCRPC),Previously proposed (Crist 2018; JAVELIN PARP Medley),Ready now,expression,MIBC_KINOME,ATM,,2,0
9,MIBC / MPBC,Alpelisib,PIK3CA (mutant),2,1,FDA-approved (PIK3CA-breast),Previously proposed (Hyman/Chakraborty 2022 [PMID 35100734]),Ready now,curated,MIBC_KINOME,PIK3CA,,1,0
10,MIBC / MPBC,Erdafitinib,FGFR2 / FGFR3,2,1,FDA-approved (FGFR-mUC per THOR Loriot NEJM 2023),Source-approved; MPBC extension marginal,Ready now,de,MIBC_KINOME,FGFR3,,3,0
11,MIBC / MPBC,Enfortumab vedotin,NECTIN-4,3,1,"FDA-approved (1L mUC; perioperative MIBC; EV-302, KEYNOTE-905/EV-303)",Source-approved; MPBC NECTIN-4 confirmed (Chu 2021 [PMID 33901032]),Ready now,curated,MIBC_KINOME,NECTIN4,,3,0
12,MIBC / MPBC,Pembrolizumab,PD-1 / TMB-high,2,1,FDA-approved (1L mUC; perioperative MIBC),Source-approved; MPBC tested in PURE-01 (Necchi 2020),Ready now,curated,MIBC_KINOME,CD274,,1,0
13,MIBC / MPBC,Palbociclib,CDK4/6 (CDKN2A-deleted),2,1,FDA-approved (HR+ breast),Previously proposed (Rose 2018 [PMID 30185291]; phase II negative),Ready after biomarker refinement,de,MIBC_KINOME,CDK4,Cell_Cycle,1,1
14,ccRCC / sRCC,Pazopanib,VEGFR multikinase,2,1,FDA-approved (advanced RCC per COMPARZ),Source-approved; sRCC inferior outcomes (Buti 2019 [PMID 31921344]),Ready now (note sRCC efficacy limits),expression,ccRCC_METS,KDR,VEGF_signaling,3,1
15,ccRCC / sRCC,Belzutifan,HIF2α / EPAS1,2,1,FDA-approved (advanced ccRCC per LITESPARK-005; VHL-RCC),Source-approved; sRCC subgroup inclusion only,Ready now,expression,ccRCC_METS,EPAS1,HIF1_signaling,3,1
16,ccRCC,Abemaciclib,CDK4/6,0,0,FDA-approved (HR+ breast),Previously tested (McGregor 2025 [PMID 40081120]; negative monotherapy),Long-horizon (combination strategy needed),expression,ccRCC_METS,CDK4,,2,0
17,RMC,Reparixin / navarixin / AZD5069,CXCR1 / CXCR2 (IL-8/CXCL1/CXCL2 triad),3,0,"Investigational (Phase II/III breast, pancreatic)",FRAMEWORK-NOVEL (zero prior PubMed hits in RMC; coherent with neutrophil-rich RMC microenvironment per Msaouel 2025),Ready now,de,RMC,CXCL8,Chemokine_signaling,3,1
18,RMC,Erlotinib (± bevacizumab),EGFR (HBEGF ligand),3,1,FDA-approved (NSCLC),Previously proposed (Wiele Cancers 2021; Zacharias Mol Cancer Ther 2025),Ready now (pipeline-validation example),de,RMC,HBEGF,Chemokine_signaling,3,1
19,RMC,CM24 (anti-CEACAM1),CEACAM1,3,0,Investigational (Phase I/II),FRAMEWORK-NOVEL (zero prior PubMed hits),Ready now,de,RMC,CEACAM1,Cytokine_receptor_interaction,3,0
20,Penile SCC,Pembrolizumab + combinations,PD-1 / PD-L1 (HLA-DRA / CXCL10 immune-hot phenotype),1,1,FDA-approved (multiple),Previously proposed (KEYNOTE-158 Marabelle 2020 [PMID 32278926]; McGregor pembrolizumab in rare GU 2021; HERCULES atezolizumab) — framework convergent validation,Ready now,de,PSCC,HLA-DRA,Antigen_processing_presentation,3,2
21,Penile SCC,Andecaliximab / marimastat,MMP1 / MMP9,0,1,Phase II/III (historical MMP trials),PARTIALLY NOVEL — MMP1 elevation reported as PSCC target (Tan 2022; Ibilibor 2022) but no drug proposed,Long-horizon (historical MMP-inhibitor toxicity),de,PSCC,MMP1,Cytokine_receptor_interaction,3,1
22,Penile SCC,Fresolimumab / vactosertib,POSTN / TGFβ axis,0,1,Phase I/II,PARTIALLY NOVEL — POSTN flagged 12 years ago (Gunia 2013); no drug proposed,Ready after preclinical bridging,de,PSCC,POSTN,Cytokine_receptor_interaction,3,1
23,Sarcomatoid UC,KTX-1001 / SP-2577 (seclidemstat),NSD2 / WHSC1 (histone methyltransferase),0,0,Phase I,FRAMEWORK-NOVEL (zero prior PubMed hits),Ready after preclinical bridging,de,SarcUC,NSD2,Epigenetic_Regulation,3,2
24,Sarcomatoid UC,Ceralasertib / berzosertib / elimusertib,ATR / ATRIP (DNA damage response),0,0,Phase II,FRAMEWORK-NOVEL (zero prior PubMed hits in sarcomatoid UC),Ready now,de,SarcUC,ATR,Cell_Cycle,3,1
25,Sarcomatoid UC,UM-002 (UHRF1 PROTAC),UHRF1 (epigenetic reader),0,1,Preclinical,"PARTIALLY NOVEL — UHRF1 in conventional bladder cancer previously proposed (e.g., PMID 40667845); sarcomatoid-specific application is novel slice",Long-horizon,de,SarcUC,UHRF1,Epigenetic_Regulation,3,2
