N,Context,Drug,Target,E(0-3),P(0-2),L(0-1),Total,Tier,Stage,Prior status,Trial readiness
1,NEPC,Venetoclax,BCL2,2,0,1,3/6,Moderate,"FDA-approved (CLL, AML)",Previously proposed (Westaby JCI 2024 [PMID 39286979]),Ready now
2,NEPC,Alisertib (investigational),AURKA / CXCR7→AURKA axis,2,0,1,3/6,Moderate,Investigational (Phase II),Previously proposed (Gritsina JCI 2023 [PMID 37347559]; CXCR7→AURKA axis + in vivo alisertib validation) — framework convergent validation,Ready now
3,NEPC,Tazemetostat,EZH2,2,1,1,4/6,Moderate,"FDA-approved (epithelioid sarcoma, FL)",Previously proposed (Fei 2024; Saggese 2025 [PMID 39878501]),Ready now
4,NEPC,Decitabine / azacitidine,DNMT1/3A,3,1,1,5/6,Strong,"FDA-approved (MDS, AML)",Previously proposed (Yamada Sci Transl Med 2023 [PMID 37967200]; DNMT-KO + decitabine + B7-H3 ADC) — framework convergent validation,Ready now
5,NEPC,Cabazitaxel + Carboplatin,TP53-mutated platinum-sensitive,2,1,1,4/6,Moderate,FDA-approved (mCRPC),Previously proposed (Aparicio 2013; Corn Lancet Oncol 2019 [PMID 31416691]),Ready now (off-label SOC)
6,NEPC,Olaparib,PARP1/2 (HRR-mutated subset),3,0,1,4/6,Moderate,FDA-approved (HRR-mCRPC per PROfound 2020),Previously proposed (de Bono NEJM 2020; Ikeda 2024 [PMID 38440716]),Ready now
7,MIBC / MPBC,Alisertib (investigational),AURKA / AURKB,3,1,1,5/6,Strong,Investigational (Phase II in mUC; Necchi 2019),Previously proposed for MIBC (Choi 2022 [PMC9022081]); MPBC extension novel,Ready now
8,MIBC / MPBC,Talazoparib,PARP (ERCC2/ATM/BRCA-mutated),0,0,1,1/6,Exploratory,FDA-approved (BRCA-breast; HRR-mCRPC),Previously proposed (Crist 2018; JAVELIN PARP Medley),Ready now
9,MIBC / MPBC,Alpelisib,PIK3CA (mutant),1,0,1,2/6,Exploratory,FDA-approved (PIK3CA-breast),Previously proposed (Hyman/Chakraborty 2022 [PMID 35100734]),Ready now
10,MIBC / MPBC,Erdafitinib,FGFR2 / FGFR3,3,0,1,4/6,Moderate,FDA-approved (FGFR-mUC per THOR Loriot NEJM 2023),Source-approved; MPBC extension marginal,Ready now
11,MIBC / MPBC,Enfortumab vedotin,NECTIN-4,3,0,1,4/6,Moderate,"FDA-approved (1L mUC; perioperative MIBC; EV-302, KEYNOTE-905/EV-303)",Source-approved; MPBC NECTIN-4 confirmed (Chu 2021 [PMID 33901032]),Ready now
12,MIBC / MPBC,Pembrolizumab,PD-1 / TMB-high,1,0,1,2/6,Exploratory,FDA-approved (1L mUC; perioperative MIBC),Source-approved; MPBC tested in PURE-01 (Necchi 2020),Ready now
13,MIBC / MPBC,Palbociclib,CDK4/6 (CDKN2A-deleted),0,2,1,3/6,Moderate,FDA-approved (HR+ breast),Previously proposed (Rose 2018 [PMID 30185291]; phase II negative),Ready after biomarker refinement
14,ccRCC / sRCC,Pazopanib,VEGFR multikinase,3,1,1,5/6,Strong,FDA-approved (advanced RCC per COMPARZ),Source-approved; sRCC inferior outcomes (Buti 2019 [PMID 31921344]),Ready now (note sRCC efficacy limits)
15,ccRCC / sRCC,Belzutifan,HIF2α / EPAS1,3,1,1,5/6,Strong,FDA-approved (advanced ccRCC per LITESPARK-005; VHL-RCC),Source-approved; sRCC subgroup inclusion only,Ready now
16,ccRCC,Abemaciclib,CDK4/6,2,0,0,2/6,Exploratory,FDA-approved (HR+ breast),Previously tested (McGregor 2025 [PMID 40081120]; negative monotherapy),Long-horizon (combination strategy needed)
17,RMC,"CXCR2-directed antagonists, including agents with additional CXCR1 activity (AZD5069, navarixin, reparixin, danirixin)",CXCR1 / CXCR2 (CXCL8/CXCL1/CXCL2/CXCL3 chemokine axis),3,2,0,5/6,Strong,"Investigational (Phase II/III breast, pancreatic)",FRAMEWORK-NOVEL (zero prior PubMed hits in RMC; coherent with neutrophil-rich RMC microenvironment per Msaouel 2025),Ready now
18,RMC,Erlotinib (± bevacizumab),EGFR (HBEGF ligand),3,1,1,5/6,Strong,FDA-approved (NSCLC),Previously proposed (Wiele Cancers 2021; Zacharias Mol Cancer Ther 2025),Ready now (pipeline-validation example)
19,RMC,CM24 (anti-CEACAM1),CEACAM1,3,1,0,4/6,Moderate,Investigational (Phase I/II),FRAMEWORK-NOVEL (zero prior PubMed hits),Ready now
20,Penile SCC,Pembrolizumab + combinations,PD-1 / PD-L1 (HLA-DRA / CXCL10 immune-hot phenotype),3,2,1,6/6,Strong,FDA-approved (multiple),Previously proposed (KEYNOTE-158 Marabelle 2020 [PMID 32278926]; McGregor pembrolizumab in rare GU 2021; HERCULES atezolizumab) — framework convergent validation,Ready now
21,Penile SCC,Andecaliximab / marimastat,MMP1 / MMP9,3,1,1,5/6,Strong,Phase II/III (historical MMP trials),PARTIALLY NOVEL — MMP1 elevation reported as PSCC target (Tan 2022; Ibilibor 2022) but no drug proposed,Long-horizon (historical MMP-inhibitor toxicity)
22,Penile SCC,Fresolimumab / vactosertib,POSTN / TGFβ axis,3,1,1,5/6,Strong,Phase I/II,PARTIALLY NOVEL — POSTN flagged 12 years ago (Gunia 2013); no drug proposed,Ready after preclinical bridging
