Row,Context,Drug,Target,G (0-3),E (0-3),P (0-2),L (0-1),Total,Tier,Scoring rationale (as recorded at build time),Score note,E component evidence as recorded (v25 validation table),E component evidence type,Score in v25,Expression percentile (primary GEO matrix),Expression-rank arm check,E component reproducible from deposited DE?,Audit measurement,Prior status
1,NEPC,Venetoclax,BCL2,3,2,0,1,6/9,Moderate,"=========================== | VALIDATION SET (14 rows, all from main v25) | =========================== | NEPC","E=2: BCL2 34.28 TPM, 88.6th pct (top 11.4%) -> top-15% bin",BCL2 TPM=34.3; RB1 TPM=2.7 (GSE216053),absolute expression level (TPM),7/9 (Strong),BCL2=34.281 TPM (v25 recorded 34.3); 88.62th pct of all transcripts,BCL2: top 1% NOT met (top 10.5%); DOES NOT reconcile (deposited mean 37.76 vs quoted 34.3),DISAGREES,BCL2 log2FC=0.373 q=0.637 expr_pct=88.47,Previously proposed (Westaby JCI 2024 [PMID 39286979])
2,NEPC,Alisertib (investigational),AURKA / CXCR7→AURKA axis,1,2,2,1,6/9,Moderate,,"E=2: DE arm fails (FC=-1.17, p=0.10, and negative direction); AURKA 61.0 TPM at 93.2nd pct = top 6.8% -> top-15% bin","CXCR7->AURKA axis FC=-1.17 (trend, p=0.10); Cell Cycle KEGG OR=2.86 p=0.0002 (GSE199274); SYP induction with CXCR7 loss",trend-level DE + pathway enrichment + functional axis,7/9 (Strong),,,DISAGREES,AURKA log2FC=-1.17 q=0.612 expr_pct=77.33,Previously proposed (Gritsina JCI 2023 [PMID 37347559]; CXCR7→AURKA axis + in vivo alisertib validation) — framework convergent validation
3,NEPC,Tazemetostat,EZH2,2,2,1,1,6/9,Moderate,,was 5/9 Moderate,EZH2 TPM=39.7; reduced by DNMT3A KO (FC=-0.61 GSE216052),absolute expression level (TPM) + knockout validation,5/9 (Moderate),EZH2=39.701 TPM (v25 recorded 39.7); 89.91th pct of all transcripts,EZH2: top 1% NOT met (top 34.4%); DOES NOT reconcile (deposited mean 1.89 vs quoted 39.7),DISAGREES,EZH2 log2FC=0.835 q=0.306 expr_pct=80.91,Previously proposed (Fei 2024; Saggese 2025 [PMID 39878501])
4,NEPC,Decitabine / azacitidine,DNMT1/3A,2,3,1,1,7/9,Strong,,7/9 Strong — framework converges on Yamada 2023,DNMT1 TPM=123.6 (PM154 GSE216053); DNMT1 KO restores RB1 (FC=+0.70 GSE216052),absolute expression level (TPM) + knockout validation,6/9 (Moderate),DNMT1=123.624 TPM (v25 recorded 123.6); 96.96th pct of all transcripts,DNMT1: top 1% NOT met (top 3.0%); reconciles with quoted value,NO DEPOSITED DATA for the cited dataset,DNMT1/DNMT3A/DNMT3B log2FC=nan q=nan expr_pct=nan,Previously proposed (Yamada Sci Transl Med 2023 [PMID 37967200]; DNMT-KO + decitabine + B7-H3 ADC) — framework convergent validation
5,NEPC,Cabazitaxel + Carboplatin,TP53-mutated platinum-sensitive,3,0,1,1,5/9,Moderate,,was 5/9 Moderate,Near-universal TP53 in NEPC; platinum sensitivity (published series),published series only (no GEO contrast),5/9 (Moderate),,,"n/a (genomic-only row, E=0)",TP53 log2FC=nan q=nan expr_pct=nan,Previously proposed (Aparicio 2013; Corn Lancet Oncol 2019 [PMID 31416691])
6,NEPC,Olaparib,PARP1/2 (HRR-mutated subset),2,3,0,1,6/9,Moderate,,"E=3: PARP1 267.2 TPM, 98.8th pct (top 1.2%) -> top-5% bin",PARP1 TPM=267; PARP2 TPM=45 (PM154 GSE216053); HRR pathway OR=1.62 (trend p=0.16),absolute expression level (TPM),5/9 (Moderate),PARP1=267.204 TPM (v25 recorded 267.0); 98.77th pct of all transcripts ; PARP2=45.32 TPM (v25 recorded 45.0); 90.97th pct of all transcripts,PARP1: ABSENT from attributed dataset; highest elsewhere: GSE199274 mean=72.99 (97.79th pct) ; PARP2: ABSENT from attributed dataset; highest elsewhere: GSE199274 mean=13.56 (83.47th pct),DISAGREES,PARP1/PARP2 log2FC=0.083 q=0.871 expr_pct=97.78,Previously proposed (de Bono NEJM 2020; Ikeda 2024 [PMID 38440716])
7,MIBC / MPBC,Alisertib (investigational),AURKA / AURKB,1,3,1,1,6/9,Moderate,MIBC / MPBC,was 6/9 Moderate,AURKA FC=+2.58 p<0.001; AURKB FC=+4.08 p=0.0001; Cell Cycle panel KEGG OR=1.63 p=0.028 (GSE130598),author-computed significant DE,6/9 (Moderate),,,reproducible from deposited DE,AURKA/AURKB log2FC=4.083 q=0.000822 expr_pct=69.64,Previously proposed for MIBC (Choi 2022 [PMC9022081]); MPBC extension novel
8,MIBC / MPBC,Talazoparib,PARP (ERCC2/ATM/BRCA-mutated),2,2,0,1,5/9,Moderate,,"E=2: ATR FC=+0.55 p=0.038 (GSE130598), 0.5<=|log2FC|<1 significant",ATR FC=+0.55 p=0.038 (GSE130598); ERCC2/ATM mutations 9%/13% (TCGA),author-computed significant DE (transcript scored was ATR),4/9 (Moderate),,,DISAGREES,ATR log2FC=0.552 q=0.0914 expr_pct=71.64,Previously proposed (Crist 2018; JAVELIN PARP Medley)
9,MIBC / MPBC,Alpelisib,PIK3CA (mutant),2,1,0,1,4/9,Moderate,,was 4/9 Moderate,PIK3CA 22% activating mut (TCGA); ERBB2/ERBB3 upregulated in MIBC (GSE130598),genomic frequency + partner-gene expression,4/9 (Moderate),,,NO DEPOSITED DATA for the cited dataset,PIK3CA log2FC=nan q=nan expr_pct=nan,Previously proposed (Hyman/Chakraborty 2022 [PMID 35100734])
10,MIBC / MPBC,Erdafitinib,FGFR2 / FGFR3,2,3,0,1,6/9,Moderate,,"E=3: FGFR3 FC=+1.63 p=0.016 q=0.045 (GSE130598), |log2FC|>=1 significant",FGFR3 FC=+1.63 p=0.016 in MIBC tumor (GSE130598),author-computed significant DE,5/9 (Moderate),,,reproducible from deposited DE,FGFR2/FGFR3 log2FC=1.628 q=0.0447 expr_pct=95.82,Source-approved; MPBC extension marginal
11,MIBC / MPBC,Enfortumab vedotin,NECTIN-4,3,3,0,1,7/9,Strong,,was 7/9 Strong,Near-universal NECTIN4 expression in BLCA (TCGA/published),published IHC series (no GEO contrast),7/9 (Strong),,,NO DEPOSITED DATA for the cited dataset,NECTIN4/PVRL4 log2FC=nan q=nan expr_pct=nan,Source-approved; MPBC NECTIN-4 confirmed (Chu 2021 [PMID 33901032])
12,MIBC / MPBC,Pembrolizumab,PD-1 / TMB-high,2,1,0,1,4/9,Moderate,,was 4/9 Moderate,26% TMB-H in BLCA; pembrolizumab FDA-approved for TMB-H tumours,genomic biomarker prevalence (no GEO contrast),4/9 (Moderate),,,NO DEPOSITED DATA for the cited dataset,PDCD1/CD274 log2FC=nan q=nan expr_pct=nan,Source-approved; MPBC tested in PURE-01 (Necchi 2020)
13,MIBC / MPBC,Palbociclib,CDK4/6 (CDKN2A-deleted),2,1,1,1,5/9,Moderate,,was 5/9 Moderate,32% CDKN2A deep del in BLCA releases CDK4/6 from inhibition,genomic frequency (no GEO contrast),5/9 (Moderate),,,DISAGREES,CDK4/CDK6/CDKN2A log2FC=0.543 q=0.375 expr_pct=61.27,Previously proposed (Rose 2018 [PMID 30185291]; phase II negative)
14,ccRCC / sRCC,Pazopanib,VEGFR multikinase,2,3,1,1,7/9,Strong,ccRCC / sRCC,was 7/9 Strong,VEGFA rank 30/57353 (top 0.05%); KDR rank 412 in ccRCC (GSE143630),expression rank (top 1% arm),7/9 (Strong),,"VEGFA: top 1% MET; n/a (rank recorded, not a value)",reproducible from deposited DE,KDR/FLT1/VEGFA log2FC=-0.17 q=0.371 expr_pct=99.96,Source-approved; sRCC inferior outcomes (Buti 2019 [PMID 31921344])
15,ccRCC / sRCC,Belzutifan,HIF2α / EPAS1,2,3,1,1,7/9,Strong,,was 7/9 Strong,EPAS1 rank 75/57353 (top 0.13%); upregulated in HLRCC p=0.003 (GSE157256),expression rank (top 1% arm) + HLRCC DE,7/9 (Strong),,"EPAS1: top 1% MET; n/a (rank recorded, not a value)",reproducible from deposited DE,EPAS1 log2FC=-0.13 q=0.369 expr_pct=99.92,Source-approved; sRCC subgroup inclusion only
16,ccRCC,Abemaciclib,CDK4/6,0,2,0,0,2/9,Exploratory,,E=2: CDK4 91.8th pct (top 8.2%) -> top-15% bin,CDK4 rank top 8.2% in ccRCC; CDK4/6 not differentially upregulated,expression rank (below top 1%),1/9 (Exploratory),,"CDK4: top 1% NOT met (top 8.2%); n/a (rank recorded, not a value)",DISAGREES,CDK4/CDK6 log2FC=-0.083 q=0.75 expr_pct=91.77,Previously tested (McGregor 2025 [PMID 40081120]; negative monotherapy)
