N,Context,Drug,Target,Prior status,Tier,classification
1,NEPC,Venetoclax,BCL2,Previously proposed (Westaby JCI 2024 [PMID 39286979]),Strong,PREVIOUSLY-PROPOSED
2,NEPC,Alisertib (investigational),AURKA / CXCR7→AURKA axis,Previously proposed (Gritsina JCI 2023 [PMID 37347559]; CXCR7→AURKA axis + in vivo alisertib validation) — framework convergent validation,Strong,PREVIOUSLY-PROPOSED
3,NEPC,Tazemetostat,EZH2,Previously proposed (Fei 2024; Saggese 2025 [PMID 39878501]),Moderate,PREVIOUSLY-PROPOSED
4,NEPC,Decitabine / azacitidine,DNMT1/3A,Previously proposed (Yamada Sci Transl Med 2023 [PMID 37967200]; DNMT-KO + decitabine + B7-H3 ADC) — framework convergent validation,Strong,PREVIOUSLY-PROPOSED
5,NEPC,Cabazitaxel + Carboplatin,TP53-mutated platinum-sensitive,Previously proposed (Aparicio 2013; Corn Lancet Oncol 2019 [PMID 31416691]),Moderate,PREVIOUSLY-PROPOSED
6,NEPC,Olaparib,PARP1/2 (HRR-mutated subset),Previously proposed (de Bono NEJM 2020; Ikeda 2024 [PMID 38440716]),Moderate,PREVIOUSLY-PROPOSED
7,MIBC / MPBC,Alisertib (investigational),AURKA / AURKB,Previously proposed for MIBC (Choi 2022 [PMC9022081]); MPBC extension novel,Moderate,PREVIOUSLY-PROPOSED
8,MIBC / MPBC,Talazoparib,PARP (ERCC2/ATM/BRCA-mutated),Previously proposed (Crist 2018; JAVELIN PARP Medley),Moderate,PREVIOUSLY-PROPOSED
9,MIBC / MPBC,Alpelisib,PIK3CA (mutant),Previously proposed (Hyman/Chakraborty 2022 [PMID 35100734]),Moderate,PREVIOUSLY-PROPOSED
10,MIBC / MPBC,Erdafitinib,FGFR2 / FGFR3,Source-approved; MPBC extension marginal,Moderate,PREVIOUSLY-PROPOSED
11,MIBC / MPBC,Enfortumab vedotin,NECTIN-4,Source-approved; MPBC NECTIN-4 confirmed (Chu 2021 [PMID 33901032]),Strong,PREVIOUSLY-PROPOSED
12,MIBC / MPBC,Pembrolizumab,PD-1 / TMB-high,Source-approved; MPBC tested in PURE-01 (Necchi 2020),Moderate,PREVIOUSLY-PROPOSED
13,MIBC / MPBC,Palbociclib,CDK4/6 (CDKN2A-deleted),Previously proposed (Rose 2018 [PMID 30185291]; phase II negative),Moderate,PREVIOUSLY-PROPOSED
14,ccRCC / sRCC,Pazopanib,VEGFR multikinase,Source-approved; sRCC inferior outcomes (Buti 2019 [PMID 31921344]),Strong,PREVIOUSLY-PROPOSED
15,ccRCC / sRCC,Belzutifan,HIF2α / EPAS1,Source-approved; sRCC subgroup inclusion only,Strong,PREVIOUSLY-PROPOSED
16,ccRCC,Abemaciclib,CDK4/6,Previously tested (McGregor 2025 [PMID 40081120]; negative monotherapy),Exploratory,PREVIOUSLY-PROPOSED
17,RMC,Reparixin / navarixin / AZD5069,CXCR1 / CXCR2 (IL-8/CXCL1/CXCL2 triad),FRAMEWORK-NOVEL (zero prior PubMed hits in RMC; coherent with neutrophil-rich RMC microenvironment per Msaouel 2025),Strong,FRAMEWORK-NOVEL
18,RMC,Erlotinib (± bevacizumab),EGFR (HBEGF ligand),Previously proposed (Wiele Cancers 2021; Zacharias Mol Cancer Ther 2025),Strong,PREVIOUSLY-PROPOSED
19,RMC,CM24 (anti-CEACAM1),CEACAM1,FRAMEWORK-NOVEL (zero prior PubMed hits),Moderate,FRAMEWORK-NOVEL
20,Penile SCC,Pembrolizumab + combinations,PD-1 / PD-L1 (HLA-DRA / CXCL10 immune-hot phenotype),Previously proposed (KEYNOTE-158 Marabelle 2020 [PMID 32278926]; McGregor pembrolizumab in rare GU 2021; HERCULES atezolizumab) — framework convergent validation,Strong,PREVIOUSLY-PROPOSED
21,Penile SCC,Andecaliximab / marimastat,MMP1 / MMP9,PARTIALLY NOVEL — MMP1 elevation reported as PSCC target (Tan 2022; Ibilibor 2022) but no drug proposed,Moderate,PARTIALLY-NOVEL
22,Penile SCC,Fresolimumab / vactosertib,POSTN / TGFβ axis,PARTIALLY NOVEL — POSTN flagged 12 years ago (Gunia 2013); no drug proposed,Moderate,PARTIALLY-NOVEL
23,Sarcomatoid UC,KTX-1001 / SP-2577 (seclidemstat),NSD2 / WHSC1 (histone methyltransferase),FRAMEWORK-NOVEL (zero prior PubMed hits),Moderate,FRAMEWORK-NOVEL
24,Sarcomatoid UC,Ceralasertib / berzosertib / elimusertib,ATR / ATRIP (DNA damage response),FRAMEWORK-NOVEL (zero prior PubMed hits in sarcomatoid UC),Exploratory,FRAMEWORK-NOVEL
25,Sarcomatoid UC,UM-002 (UHRF1 PROTAC),UHRF1 (epigenetic reader),"PARTIALLY NOVEL — UHRF1 in conventional bladder cancer previously proposed (e.g., PMID 40667845); sarcomatoid-specific application is novel slice",Moderate,PARTIALLY-NOVEL
26,Sarcomatoid UC,6-aminonicotinamide / polydatin,G6PD (pentose phosphate),PARTIALLY NOVEL — G6PD/pentose phosphate in conventional bladder cancer previously proposed (PMID 37958478); sarcomatoid-specific application is novel slice,Moderate,PARTIALLY-NOVEL
