row,context,drug,target,classification,query_template,exact_query_string_logged,reviewers,classifications_duplicated,adjudication,counts_as_prior_proposal
1,NEPC,Venetoclax,BCL2,Previously proposed (Westaby JCI 2024 [PMID 39286979]),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
2,NEPC,Alisertib (investigational),AURKA / CXCR7→AURKA axis,Previously proposed (Gritsina JCI 2023 [PMID 37347559]; CXCR7→AURKA axis + in vivo alisertib validation) — framework convergent validation,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
3,NEPC,Tazemetostat,EZH2,Previously proposed (Fei 2024; Saggese 2025 [PMID 39878501]),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
4,NEPC,Decitabine / azacitidine,DNMT1/3A,Previously proposed (Yamada Sci Transl Med 2023 [PMID 37967200]; DNMT-KO + decitabine + B7-H3 ADC) — framework convergent validation,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
5,NEPC,Cabazitaxel + Carboplatin,TP53-mutated platinum-sensitive,Previously proposed (Aparicio 2013; Corn Lancet Oncol 2019 [PMID 31416691]),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
6,NEPC,Olaparib,PARP1/2 (HRR-mutated subset),Previously proposed (de Bono NEJM 2020; Ikeda 2024 [PMID 38440716]),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
7,MIBC / MPBC,Alisertib (investigational),AURKA / AURKB,Previously proposed for MIBC (Choi 2022 [PMC9022081]); MPBC extension novel,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
8,MIBC / MPBC,Talazoparib,PARP (ERCC2/ATM/BRCA-mutated),Previously proposed (Crist 2018; JAVELIN PARP Medley),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
9,MIBC / MPBC,Alpelisib,PIK3CA (mutant),Previously proposed (Hyman/Chakraborty 2022 [PMID 35100734]),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
10,MIBC / MPBC,Erdafitinib,FGFR2 / FGFR3,Source-approved; MPBC extension marginal,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
11,MIBC / MPBC,Enfortumab vedotin,NECTIN-4,Source-approved; MPBC NECTIN-4 confirmed (Chu 2021 [PMID 33901032]),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
12,MIBC / MPBC,Pembrolizumab,PD-1 / TMB-high,Source-approved; MPBC tested in PURE-01 (Necchi 2020),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
13,MIBC / MPBC,Palbociclib,CDK4/6 (CDKN2A-deleted),Previously proposed (Rose 2018 [PMID 30185291]; phase II negative),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
14,ccRCC / sRCC,Pazopanib,VEGFR multikinase,Source-approved; sRCC inferior outcomes (Buti 2019 [PMID 31921344]),"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
15,ccRCC / sRCC,Belzutifan,HIF2α / EPAS1,Source-approved; sRCC subgroup inclusion only,"(""<target>"" OR ""<drug>"" OR ""<drug class>"") AND (""<disease>"" OR ""<disease synonyms>"") — PubMed, all years, no language limit; reviews, position papers and ClinicalTrials.gov registrations screened alongside primary reports",no,1,no,not applicable (single reviewer),"primary report, review, position paper or trial registration proposing the agent or its class against the nominated target in a urologic-oncology context; conference abstracts and patents were not treated as prior proposals"
