row,drug,target,genomic_basis,geo_evidence_as_recorded_v25,evidence_type,v25_score
1,Venetoclax,BCL2,RB1 loss 90% (NEPC series),BCL2 TPM=34.3; RB1 TPM=2.7 (GSE216053),absolute expression level (TPM),7/9 (Strong)
2,Alisertib,AURKA,AURKA reported elevated,"CXCR7->AURKA axis FC=-1.17 (trend, p=0.10); Cell Cycle KEGG OR=2.86 p=0.0002 (GSE199274); SYP induction with CXCR7 loss",trend-level DE + pathway enrichment + functional axis,7/9 (Strong)
3,Tazemetostat,EZH2,EZH2 reported overexpressed,EZH2 TPM=39.7; reduced by DNMT3A KO (FC=-0.61 GSE216052),absolute expression level (TPM) + knockout validation,5/9 (Moderate)
4,Decitabine,DNMT1/3A,DNMT reported elevated,DNMT1 TPM=123.6 (PM154 GSE216053); DNMT1 KO restores RB1 (FC=+0.70 GSE216052),absolute expression level (TPM) + knockout validation,6/9 (Moderate)
5,Cabazitaxel+carboplatin,TP53,TP53 reported altered (NEPC series),Near-universal TP53 in NEPC; platinum sensitivity (published series),published series only (no GEO contrast),5/9 (Moderate)
6,Olaparib,PARP1/2,RB1-loss biology; BRCA/HRR co-occurrence ~10-20% adv PCa,"PARP1 TPM=267; PARP2 TPM=45 (PM154 GSE216053); HRR pathway OR=1.62 (trend p=0.16)",absolute expression level (TPM),5/9 (Moderate)
7,Alisertib,AURKA/AURKB,AURKA mRNA overexpression in MIBC (TCGA-BLCA),"AURKA FC=+2.58 p<0.001; AURKB FC=+4.08 p=0.0001; Cell Cycle panel KEGG OR=1.63 p=0.028 (GSE130598)",author-computed significant DE,6/9 (Moderate)
8,Talazoparib,PARP1/2 (ERCC2/ATM/BRCA biomarker),ERCC2 9% ATM 13% mutation (TCGA BLCA),ATR FC=+0.55 p=0.038 (GSE130598); ERCC2/ATM mutations 9%/13% (TCGA),author-computed significant DE (transcript scored was ATR),4/9 (Moderate)
9,Alpelisib,PIK3CA,PIK3CA 22% mut (TCGA BLCA),PIK3CA 22% activating mut (TCGA); ERBB2/ERBB3 upregulated in MIBC (GSE130598),genomic frequency + partner-gene expression,4/9 (Moderate)
10,Erdafitinib,FGFR2/3,FGFR3 19% alt (TCGA BLCA),FGFR3 FC=+1.63 p=0.016 in MIBC tumor (GSE130598),author-computed significant DE,5/9 (Moderate)
11,Enfortumab vedotin,NECTIN4,Near-universal NECTIN4 (>80% IHC published series),Near-universal NECTIN4 expression in BLCA (TCGA/published),published IHC series (no GEO contrast),7/9 (Strong)
12,Pembrolizumab,PD-1/TMB,TMB-H 26% (TCGA BLCA >=10 mut/Mb),26% TMB-H in BLCA; pembrolizumab FDA-approved for TMB-H tumours,genomic biomarker prevalence (no GEO contrast),4/9 (Moderate)
13,Palbociclib,CDK4/6,CDKN2A 32% deep del (TCGA BLCA),32% CDKN2A deep del in BLCA releases CDK4/6 from inhibition,genomic frequency (no GEO contrast),5/9 (Moderate)
14,Pazopanib,VEGFR/PDGFR,VHL 34% mut/CNA (TCGA KIRC),VEGFA rank 30/57353 (top 0.05%); KDR rank 412 in ccRCC (GSE143630),expression rank (top 1% arm),7/9 (Strong)
15,Belzutifan,HIF2a/EPAS1,VHL 34% mut/CNA (TCGA KIRC),EPAS1 rank 75/57353 (top 0.13%); upregulated in HLRCC p=0.003 (GSE157256),expression rank (top 1% arm) + HLRCC DE,7/9 (Strong)
16,Abemaciclib,CDK4/6,CDKN2A 3% deep del (TCGA KIRC),CDK4 rank top 8.2% in ccRCC; CDK4/6 not differentially upregulated,expression rank (below top 1%),1/9 (Exploratory)
